country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,72.0,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19.0,19.9,82.3
Albania,57.1,32.3,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12.0
Algeria,16.3,14.6,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11.0,10.9,11.1,11.1
Angola,1320.0,910.0,654.0,498.0,344.0,197.0,151.0,227.0,163.0,143.0,130.0,119.0,17.0,20.7,17.4
Antigua and Barbuda,,,12.5,12.0,11.3,11.1,9.2,10.5,12.0,10.5,10.0,9.8,9.5,9.4,9.1
Argentina,13.5,17.3,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.4,17.8,11.5,10.8,10.4
Armenia,8.4,7.0,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1.0,1.0,0.9,0.9
Australia,2.0,2.1,1.9,1.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Austria,6.1,6.0,5.7,5.6,5.4,5.1,5.1,5.2,5.2,4.9,4.8,5.5,5.3,5.2,5.1
Azerbaijan,16.8,14.4,12.3,9.3,6.9,4.3,2.9,3.1,2.7,2.3,1.1,3.2,1.8,1.9,1.8
Bahamas,,,,,10.3,9.8,8.5,10.7,10.6,10.3,10.4,10.2,10.8,13.8,13.8
Bahrain,,,,,0.7,0.6,0.5,0.6,0.9,0.8,1.0,0.8,0.8,1.2,1.0
Bangladesh,,,,,,,,,,,18.8,16.8,13.9,15.6,22.3
Barbados,,,,,,,,,7.6,7.2,7.2,7.6,7.1,7.7,7.6
Belarus,20.6,26.6,32.9,26.8,9.5,8.3,2.1,2.0,1.6,2.5,0.9,0.9,0.9,0.6,0.6
Belgium,11.1,11.3,11.1,5.8,5.6,5.5,5.6,5.7,5.5,5.3,5.3,5.2,5.0,5.0,5.6
Belize,,,38.4,38.0,37.0,36.5,35.3,35.8,36.5,36.7,35.4,34.3,34.2,34.6,34.6
Benin,148.0,174.0,168.0,211.0,197.0,198.0,157.0,154.0,150.0,127.0,123.0,55.9,45.4,3.8,3.7
Bhutan,21.0,17.6,16.9,14.1,8.8,7.2,6.8,6.1,6.1,6.0,4.8,4.2,4.0,3.8,3.9
Bolivia,174.0,172.0,153.0,144.0,129.0,106.0,93.7,95.2,85.4,70.0,67.6,60.8,54.9,53.5,54.0
Bosnia and Herzegovina,47.3,45.3,41.2,37.4,30.9,31.6,16.3,18.3,17.6,15.4,15.4,15.2,14.1,13.5,7.7
Botswana,10.4,10.2,10.0,9.7,9.3,1.7,1.4,1.5,1.1,0.8,0.9,0.8,0.7,0.8,0.7
Brazil,,,,,,,,,,,5.9,5.5,4.8,5.2,5.0
Brunei,,,,8.9,9.1,9.2,9.9,13.6,11.9,10.7,10.0,10.4,1.2,1.5,1.1
Bulgaria,10.4,10.3,9.6,7.9,7.6,3.0,2.6,2.5,2.3,1.9,1.8,1.5,1.4,1.3,1.2
Burkina Faso,146.0,140.0,137.0,113.0,82.1,62.3,50.5,49.9,47.7,46.8,44.5,44.7,43.5,43.4,42.6
Burundi,240.0,181.0,190.0,214.0,241.0,207.0,146.0,124.0,117.0,18.3,17.5,13.4,13.4,13.9,33.9
Cambodia,535.0,480.0,276.0,237.0,190.0,151.0,137.0,128.0,109.0,77.7,130.0,120.0,59.6,55.7,51.3
Cameroon,193.0,183.0,172.0,151.0,144.0,152.0,129.0,46.2,40.4,36.0,36.4,34.6,33.0,32.2,35.8
Canada,0.6,0.9,0.9,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Cape Verde,,,44.0,45.6,40.1,35.7,17.0,18.5,17.0,14.9,13.5,14.3,14.8,14.7,15.4
Central African Republic,198.0,210.0,217.0,215.0,211.0,238.0,224.0,209.0,157.0,154.0,145.0,200.0,181.0,186.0,155.0
Chad,480.0,483.0,478.0,242.0,273.0,253.0,246.0,227.0,209.0,202.0,186.0,151.0,150.0,160.0,171.0
Chile,19.6,17.0,16.8,15.7,14.3,12.0,11.3,11.1,8.9,7.8,3.7,3.5,3.3,3.2,3.0
China,,,,,,,,,,,1.9,0.9,0.7,0.7,0.6
Colombia,28.0,25.6,24.7,19.1,18.6,14.9,13.1,14.7,8.0,7.6,7.5,7.5,14.3,14.1,14.0
Comoros,,,158.0,158.0,149.0,152.0,145.0,138.0,138.0,115.0,90.3,86.9,89.7,98.4,84.1
"Congo, Dem. Rep.",1490.0,1230.0,1190.0,1080.0,872.0,935.0,848.0,735.0,551.0,285.0,200.0,30.0,29.3,29.3,28.6
"Congo, Rep.",169.0,172.0,158.0,140.0,150.0,106.0,86.5,95.2,85.2,55.3,52.1,52.7,52.3,61.2,77.7
Costa Rica,15.6,14.7,12.6,12.5,12.7,11.4,10.5,10.1,9.8,15.8,11.9,11.5,11.1,9.1,8.5
Cote d'Ivoire,140.0,134.0,135.0,134.0,136.0,135.0,133.0,133.0,133.0,130.0,44.4,20.0,18.6,18.9,16.5
Croatia,16.3,13.7,12.7,11.5,10.1,10.1,8.1,8.4,8.4,7.1,9.1,3.6,3.4,7.3,7.2
Cyprus,,,,,,14.1,11.7,12.6,13.1,12.4,12.6,13.0,12.5,12.2,12.4
Czech Republic,10.0,10.8,9.5,8.9,10.6,9.6,9.2,9.3,8.1,8.1,7.0,6.9,6.7,5.7,1.0
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
Djibouti,,,280.0,267.0,252.0,245.0,240.0,215.0,215.0,196.0,185.0,175.0,171.0,131.0,35.2
Dominica,,,30.2,30.0,27.1,25.5,22.6,22.0,21.8,15.3,16.6,15.7,15.0,15.7,15.5
Dominican Republic,28.3,25.4,30.8,30.2,31.1,19.4,21.0,20.5,19.3,18.3,17.3,16.9,15.3,14.8,14.5
Ecuador,51.6,47.4,38.1,31.8,29.2,35.3,35.1,32.6,28.8,29.9,25.3,24.0,22.0,21.0,21.9
Egypt,65.6,63.0,105.0,69.0,29.1,22.9,20.9,11.1,10.6,10.6,9.9,9.4,7.8,7.6,7.4
El Salvador,129.0,130.0,120.0,79.3,74.7,55.6,43.6,45.2,45.6,45.7,45.4,44.7,43.4,41.4,41.4
Equatorial Guinea,,,98.6,98.6,101.0,99.3,98.4,101.0,99.1,98.2,98.6,99.0,99.4,103.0,103.0
Eritrea,,156.0,130.0,116.0,126.0,102.0,76.5,69.2,62.6,52.3,50.5,41.5,38.1,37.6,27.0
Estonia,8.0,7.5,6.2,5.1,2.0,1.7,1.7,1.9,1.8,1.6,1.5,1.4,1.3,1.2,1.2
Ethiopia,487.0,80.7,67.6,47.8,43.0,31.1,268.0,200.0,189.0,142.0,105.0,93.7,79.1,69.3,57.8
Fiji,30.2,28.9,28.4,25.8,25.3,25.2,25.3,23.8,25.1,24.0,23.1,22.5,21.3,17.9,16.9
Finland,1.1,1.2,1.2,1.1,1.0,1.0,0.9,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.0
France,1.4,1.1,1.2,1.1,1.1,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7
Gabon,,,27.8,24.2,25.6,20.3,17.8,21.9,17.3,14.5,12.5,12.9,15.1,14.3,7.2
Gambia,,,317.0,292.0,279.0,255.0,215.0,200.0,206.0,159.0,174.0,131.0,142.0,125.0,128.0
Georgia,22.7,13.7,13.7,10.9,9.5,4.0,3.7,5.0,4.7,4.1,3.8,3.7,3.4,2.6,2.5
Germany,6.1,6.1,4.9,5.3,5.8,5.8,4.9,5.0,4.8,5.0,5.0,8.9,2.0,1.9,1.9
Ghana,80.5,62.0,55.8,47.2,38.9,30.6,24.8,30.0,26.4,26.7,23.3,19.2,19.4,19.7,17.5
Greece,32.7,32.5,22.0,21.7,21.1,22.5,20.2,20.7,20.1,20.5,12.1,2.2,2.2,2.2,2.2
Grenada,,,38.7,37.3,31.7,30.2,24.6,25.2,25.1,19.1,19.7,18.4,17.3,15.8,15.3
Guatemala,65.6,62.8,58.4,52.1,49.9,53.4,47.8,49.1,52.5,48.1,46.4,26.0,25.1,24.1,22.9
Guinea,232.0,208.0,179.0,181.0,138.0,136.0,139.0,148.0,118.0,96.9,87.9,82.6,79.0,77.7,67.5
Guinea-Bissau,,,506.0,472.0,462.0,466.0,184.0,183.0,71.3,60.4,65.1,71.8,61.8,52.9,48.9
Guyana,,106.0,96.5,95.5,83.1,65.0,16.9,17.0,13.3,13.9,12.4,11.5,10.9,10.7,9.8
Haiti,415.0,359.0,308.0,252.0,263.0,266.0,204.0,251.0,314.0,287.0,265.0,247.0,235.0,219.0,200.0
Honduras,71.5,66.8,64.1,59.0,58.0,50.9,45.6,45.7,45.3,44.3,43.9,43.3,42.0,41.1,41.3
Hungary,40.4,22.9,22.4,20.9,17.7,8.4,8.0,8.2,7.6,8.9,8.8,8.5,7.5,7.1,5.4
Iceland,,3.0,2.8,3.0,2.7,2.6,3.0,2.3,3.3,3.0,2.7,2.4,2.2,2.0,1.8
India,,,,,,,,,,,41.2,16.2,14.3,13.8,14.8
