country,2017
Afghanistan,183
Albania,65
Algeria,166
Angola,175
Antigua and Barbuda,107
Argentina,117
Armenia,47
Australia,14
Austria,22
Azerbaijan,57
Bahamas,119
Bahrain,66
Bangladesh,177
Barbados,132
Belarus,38
Belgium,52
Belize,121
Benin,151
Bhutan,75
Bolivia,152
Bosnia and Herzegovina,86
Botswana,81
Brazil,125
Brunei,56
Bulgaria,50
Burkina Faso,148
Burundi,164
Cambodia,135
Cameroon,163
Canada,18
Cape Verde,127
Central African Republic,184
Chad,180
Chile,55
China,78
Colombia,59
Comoros,158
"Congo, Dem. Rep.",182
"Congo, Rep.",179
Costa Rica,61
Cote d'Ivoire,139
Croatia,51
Cyprus,53
Czech Republic,30
Denmark,3
Djibouti,154
Dominica,98
Dominican Republic,99
Ecuador,118
Egypt,128
El Salvador,73
Equatorial Guinea,173
Eritrea,189
Estonia,12
Ethiopia,161
Fiji,101
Finland,13
France,31
Gabon,167
Gambia,146
Georgia,9
Germany,20
Ghana,120
Greece,67
Grenada,142
Guatemala,97
Guinea,153
Guinea-Bissau,176
Guyana,126
Haiti,181
Honduras,115
Hungary,48
Iceland,23
India,100
Indonesia,72
Iran,124
Iraq,168
Ireland,17
Israel,54
Italy,46
Jamaica,70
Japan,34
Jordan,103
Kazakhstan,36
Kenya,80
Kiribati,157
Kuwait,96
Kyrgyz Republic,77
Lao,141
Latvia,19
Lebanon,133
Lesotho,104
Liberia,172
Libya,185
Lithuania,16
Luxembourg,63
"Macedonia, FYR",11
Madagascar,162
Malawi,110
Malaysia,24
Maldives,136
Mali,143
Malta,84
Marshall Islands,149
Mauritania,150
Mauritius,25
Mexico,49
"Micronesia, Fed. Sts.",155
Moldova,44
Mongolia,62
Montenegro,42
Morocco,69
Mozambique,138
Myanmar,171
Namibia,106
Nepal,105
Netherlands,32
New Zealand,1
Nicaragua,131
Niger,144
Nigeria,145
Norway,8
Oman,71
Pakistan,147
Palau,130
Palestine,114
Panama,79
Papua New Guinea,109
Paraguay,108
Peru,58
Philippines,113
Poland,27
Portugal,29
Qatar,83
Romania,45
Russia,35
Rwanda,41
Samoa,87
San Marino,93
Sao Tome and Principe,169
Saudi Arabia,92
Senegal,140
Serbia,43
Seychelles,95
Sierra Leone,160
Singapore,2
Slovak Republic,39
Slovenia,37
Solomon Islands,116
Somalia,190
South Africa,82
South Korea,4
South Sudan,187
Spain,28
Sri Lanka,111
St. Kitts and Nevis,134
St. Lucia,91
St. Vincent and the Grenadines,129
Sudan,170
Suriname,165
Sweden,10
Switzerland,33
Syria,174
Tajikistan,123
Tanzania,137
Thailand,26
Timor-Leste,178
Togo,156
Tonga,89
Trinidad and Tobago,102
Tunisia,88
Turkey,60
Uganda,122
Ukraine,76
United Arab Emirates,21
United Kingdom,7
United States,6
Uruguay,94
Uzbekistan,74
Vanuatu,90
Venezuela,188
Vietnam,68
Yemen,186
Zambia,85
Zimbabwe,159
